"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YALI0_A00176g",5260.34808289249,0.743461597003572,0.268505918652136,2.76888345976003,0.00562487511370061,0.0269556736014161
"YALI0_A00198g",298.017806459653,-0.761110245102667,0.25031797745028,-3.04057364499057,0.00236127937024464,0.0137677002662329
"YALI0_A00369g",192.908889641909,-1.19590606994373,0.24042481670829,-4.97413738863211,6.5538817183755e-07,1.64599525675201e-05
"YALI0_A00418g",1827.31074261987,-0.518102049731331,0.184421099327967,-2.80934259485115,0.0049642787977119,0.024482017838025
"YALI0_A00440g",17882.9699525514,0.360147847267809,0.11805045794223,3.05079585073744,0.00228235701249655,0.0133881166970062
"YALI0_A00550g",846.706242505699,0.449108563255255,0.163289010332797,2.75039062543115,0.00595242593119706,0.0283053297611832
"YALI0_A00594g",56717.0527397407,0.421692309583915,0.136658500235893,3.08573787108749,0.00203047739128393,0.0121849292900619
"YALI0_A00660g",2124.91318882635,-0.497793515215084,0.150865334894269,-3.2995884413338,0.000968267124353364,0.00688241024134189
"YALI0_A00682g",1229.30643846609,-1.01910472911334,0.288030637858046,-3.53818169029504,0.000402892723931801,0.00344951459719892
"YALI0_A00781g",5073.18299603922,0.418296546080233,0.106361265792406,3.93279022173972,8.39655100537951e-05,0.000986776644150407
"YALI0_A00869g",265.1213922839,-0.6846737136225,0.254899200951702,-2.6860567277817,0.00723008123542264,0.0325978596126336
"YALI0_A00891g",51104.5620916125,0.54000850532723,0.133968008240632,4.03087656836154,5.55692218266405e-05,0.000703012860459793
"YALI0_A00979g",5937.09195087685,-0.759641694373677,0.125329719719111,-6.0611457208728,1.35155311780783e-09,6.94309219079915e-08
"YALI0_A01089g",72176.448725599,-2.68513897595945,0.596526370537143,-4.50129132353631,6.75418560590265e-06,0.000116837072942923
"YALI0_A01111g",4172.86125880794,0.413102271084087,0.113084229494024,3.65304935031564,0.000259144401474524,0.00239735086821111
"YALI0_A01419g",23916.4044813238,0.37221188688504,0.105776845054639,3.51884088330271,0.000433436582875887,0.00362408565780689
"YALI0_A01441g",349.021070046423,-1.13365972959663,0.272611802580395,-4.15851301692011,3.20325982100834e-05,0.000440206070413989
"YALI0_A01738g",9137.37054566272,0.317029992081531,0.122295770099133,2.59232180985939,0.00953305515630725,0.0400933227255931
"YALI0_A01782g",4585.76750327045,-0.35251970804859,0.102966788215234,-3.42362536657654,0.000617917425031629,0.00481067515400629
"YALI0_A01848g",70.2379562844393,-0.824672445984723,0.329141201023736,-2.50552785072098,0.0122268768607391,0.0481490045001765
"YALI0_A01980g",108.330190496473,-0.928454839868775,0.364320171988013,-2.54845850231791,0.0108200158905672,0.0439001496587462
"YALI0_A02024g",449.359426300398,0.573172694676629,0.210825797655768,2.71870283926303,0.00655384580175488,0.0302735888158718
"YALI0_A02222g",26194.3904375387,0.436763064294984,0.111979593615355,3.9003808657785,9.60414782268848e-05,0.00108362273520217
"YALI0_A02541g",15828.762256557,0.806930037402355,0.185281914556974,4.35514734037479,1.32977442955189e-05,0.000209231431367916
"YALI0_A02585g",2600.38193018818,-0.35759180911257,0.105368277374018,-3.39373308574887,0.000689468568365323,0.00524135242386239
"YALI0_A02607g",125736.408814407,1.05374843570286,0.266173087724683,3.958884215946,7.53007283489195e-05,0.000900554213287518
"YALI0_A02783g",248.922842756157,-2.33484281934305,0.421725063685078,-5.53640990398093,3.08734539197159e-08,1.17613983724491e-06
"YALI0_A02893g",1052.26776142434,-0.611717975916672,0.192492080425198,-3.17788645935688,0.00148352834143506,0.00956915582736753
"YALI0_A02937g",6443.41602938595,0.439433883477715,0.171399354305374,2.56380127719032,0.0103532803202097,0.0424782826756633
"YALI0_A03025g",25627.8671758351,0.341811335831272,0.110635960897664,3.08951387105899,0.00200484344558881,0.0120735731834261
"YALI0_A03135g",10078.5470523709,0.528963559909795,0.142478707693249,3.71257971435726,0.000205157414087984,0.00196216138918282
"YALI0_A03179g",8361.58080323216,2.081298416486,0.789027658985129,2.63780159387951,0.00834453876888118,0.0362952645232734
"YALI0_A03597g",75854.7919223717,-0.471389440008078,0.165609983231737,-2.84638299460767,0.00442189760818038,0.0222902666591522
"YALI0_A03641g",2736.43329165805,-0.439839642379864,0.145275676938707,-3.02762067022023,0.00246487280770932,0.0142029113943311
"YALI0_A03663g",9424.99988053346,-0.359947458062929,0.0940022815613848,-3.82913533676178,0.000128594278308177,0.00137453868245395
"YALI0_A03751g",4810.73980774353,0.347796656303027,0.10978616213675,3.16794621046876,0.00153519921670503,0.00980243492323618
"YALI0_A03839g",60432.9257312004,0.402709179498061,0.134841597597135,2.98653521371966,0.00282158340514757,0.0157215752426505
"YALI0_A03949g",67663.9945455544,1.93100799079803,0.607677347124454,3.17768631648952,0.00148455271057228,0.00956915582736753
"YALI0_A04345g",14364.3266142199,0.256256739572175,0.0972687777679991,2.63452204759257,0.00842558316506994,0.036496839992974
"YALI0_A04587g",7490.27788632098,0.336085428614557,0.112473826090338,2.9881212393772,0.00280698180545187,0.0157027145977574
"YALI0_A04609g",13135.2059511216,-0.396668900081385,0.137830621419144,-2.87794465407736,0.00400275358204486,0.020703792555184
"YALI0_A04675g",3712.58142413992,0.409515103614789,0.1161535362638,3.52563612600416,0.000422466996219608,0.00354548106604599
"YALI0_A04697g",21480.5540947949,0.401614162577753,0.13137290670857,3.05705470511261,0.00223523478191659,0.0131572283473753
"YALI0_A05005g",133.236217679732,-1.05515193418782,0.36650538444269,-2.87895343145445,0.00398997246476517,0.0206761543185923
"YALI0_A05027g",7501.81372476677,-0.40179288510833,0.16044314679025,-2.50426953812868,0.0122704515800819,0.0482353229939334
"YALI0_A05115g",2296.40731252143,-0.560735571496722,0.165535156276339,-3.38741077188853,0.000705556632889902,0.00535165495260226
"YALI0_A05137g",5487.92123560087,-0.562514741709103,0.161859361160153,-3.47533029709982,0.000510224703910701,0.00411884966335531
"YALI0_A05159g",1968.50328620045,-0.402988748852217,0.10321901459168,-3.90421038649116,9.45335198035304e-05,0.00107016994622327
"YALI0_A05203g",689.397505875371,-0.735131985047869,0.265134802855122,-2.7726725316011,0.00555980380911081,0.0267865429521306
"YALI0_A05357g",8263.49184337445,0.317961442762978,0.0946386625847732,3.35974150604847,0.000780154306248017,0.00578799381911138
"YALI0_A05401g",2826.97506105674,0.275265310628908,0.104849928914202,2.62532663092368,0.00865658806625388,0.037105135067805
"YALI0_A05423g",3787.35597226851,0.26077982003406,0.0980643859533882,2.65927143171032,0.00783098451891181,0.0345265968938498
"YALI0_A05577g",19920.8497764058,-0.23819425698939,0.0923816046578001,-2.57837323644365,0.00992667136137201,0.0413106500828932
"YALI0_A05665g",60.3155986885868,-1.27675808273338,0.436881800611508,-2.92243366729008,0.00347307590838807,0.0184858145484925
"YALI0_A05885g",30620.9505984768,0.918155620029939,0.211553545798307,4.34006254333973,1.42442168573353e-05,0.000220525192944271
"YALI0_A05951g",1892.31838422509,-0.497674756447651,0.121907205714247,-4.08240639699519,4.45717660744127e-05,0.000580117362285207
"YALI0_A06105g",8.52718114522415,-3.42803945910864,1.20112001207846,-2.85403575382666,0.00431676727634325,0.0219265909369914
"YALI0_A06369g",6438.22624447341,-0.277260358501756,0.107033701373149,-2.59040241479784,0.00958637966598361,0.0402011382282219
"YALI0_A06435g",5887.31360158663,-0.46482748250507,0.118305524376976,-3.92904291623709,8.52846195635094e-05,0.000998816934818925
"YALI0_A06457g",29.6827611547556,-1.48687156438461,0.550966262062138,-2.69866172716202,0.00696189015828741,0.0317974252633359
"YALI0_A06633g",16076.1531406807,-2.84507679108832,0.30701652660703,-9.26685225232161,1.9172033254169e-20,4.19372766117807e-18
"YALI0_A06677g",1554.92908098932,0.392063604243176,0.131495033765452,2.98158487827382,0.00286760543352292,0.01589413562384
"YALI0_A06721g",603.350696227111,0.803273844423672,0.320086586900946,2.50955171911734,0.0120884512140028,0.0477412857787728
"YALI0_A06831g",6796.43149125946,-0.283236052058746,0.108635693788069,-2.6072098606126,0.00912833945838485,0.038688159298534
"YALI0_A06886g",6534.07545511122,-0.417547488624422,0.0953242531486654,-4.38028596954465,1.18523659189734e-05,0.000191359269753712
"YALI0_A06974g",23512.9934700227,-0.501668070473322,0.144027099793006,-3.48315054037966,0.000495549622075637,0.00402433770933521
"YALI0_A07018g",37907.8107781851,0.340820184909847,0.0923315666109962,3.69126396767167,0.00022314240989329,0.00211626389019077
"YALI0_A07084g",17749.415685552,0.36147835574978,0.0902062166983702,4.00724438935826,6.14312885934672e-05,0.00076294060064524
"YALI0_A07150r",6.4063721832777,-4.55548945548177,1.52698293006896,-2.98332703383661,0.00285133147268972,0.0158395297087679
"YALI0_A07425g",10419.5935042884,3.01105519702595,0.801231463297323,3.75803414488305,0.000171253516567181,0.00170013293764562
"YALI0_A07557g",607.462920425536,-0.400366852404214,0.149767396276517,-2.6732577474006,0.00751185096231774,0.0334237935534623
"YALI0_A07579g",416.01182130295,1.79210573346914,0.397230783736567,4.51149761509324,6.4371507263157e-06,0.000112500822358626
"YALI0_A07733g",7995.68407218841,-0.512873094679447,0.101385742252643,-5.05863135470687,4.22276321440586e-07,1.12459625729206e-05
"YALI0_A07799g",8701.11192424459,0.409592361256821,0.0932662309904906,4.39164697561953,1.12495250258538e-05,0.000182932923741762
"YALI0_A07843g",1605.02506840638,-0.409497215418733,0.158059809168313,-2.5907738189325,0.00957604063586147,0.0401826309107528
"YALI0_A08063g",8715.16486179507,0.398605401058954,0.148218129853624,2.68931608739502,0.00715985876812005,0.0323080636603441
"YALI0_A08239g",21996.5069379589,0.522967516825453,0.125998151184817,4.1505967500932,3.31609556454445e-05,0.000450630140745009
"YALI0_A08283r",8.03979314417902,-3.96617706313315,1.38385449687845,-2.86603618522007,0.00415646732875174,0.0213522764820193
"YALI0_A08404g",231.635141860796,-1.2379949246828,0.481115520592746,-2.5731760288206,0.0100769940550497,0.0416318523495842
"YALI0_A08646g",16809.2074758823,0.242402574888581,0.0954370607908793,2.53992079051692,0.0110877576958169,0.0447649275610214
"YALI0_A08800g",50.8630779643243,-1.63264629640702,0.447763463217654,-3.64622491677799,0.000266121070385605,0.00245853811755421
"YALI0_A08866g",67.0172707967782,-1.61710598622006,0.414444491556298,-3.9018638663711,9.54548389486237e-05,0.00107879877151769
"YALI0_A08998g",768.05507085803,2.048658176968,0.397313381248811,5.15627782414169,2.5190705639938e-07,7.29992200617177e-06
"YALI0_A09020g",24361.5386339498,-0.425316685676683,0.125167836363203,-3.39797106057285,0.00067887601040106,0.00518407457942521
"YALI0_A09108g",2028.87159149018,0.475014187064027,0.111931891437476,4.24377879229678,2.19787015969013e-05,0.000323291920886307
"YALI0_A09537g",6044.42790347433,-0.408686694992649,0.147673653008752,-2.76749905393366,0.00564882094098448,0.0270513098875818
"YALI0_A09592g",23220.8471861728,0.241466369301436,0.0951734320463776,2.53711948922647,0.0111768798111724,0.0450722475124017
"YALI0_A09614g",265.171882143238,-0.962464728224155,0.353694723125765,-2.72117355814191,0.00650505983018555,0.0301509300809899
"YALI0_A09724g",2227.93815083652,0.349564203891131,0.102612902027837,3.406630131134,0.000657701890323382,0.00505082278401229
"YALI0_A09768g",274.931824237823,-0.722851645733132,0.199548351948072,-3.62243856527182,0.000291838785458205,0.00264566685052418
"YALI0_A09856g",21168.1448221645,0.57776574001241,0.111588212542122,5.17765924240713,2.24687138671706e-07,6.62436298840365e-06
"YALI0_A09900g",60034.5181836727,0.434170778863923,0.108492741687171,4.0018417095202,6.28513424427676e-05,0.000776311389989813
"YALI0_A09922g",161817.742071863,0.595099964374068,0.118843816393748,5.00741210129443,5.5166730627384e-07,1.41699091054656e-05
"YALI0_A09933g",18226.7491955887,-1.09602736578187,0.130431910021153,-8.40306153305676,4.34986612462319e-17,6.85963771885346e-15
"YALI0_A10076g",21062.4498917724,0.47640069929812,0.124523054787133,3.82580318249104,0.000130346402362657,0.00138641870377611
"YALI0_A10098g",7362.51673497176,0.348577324339999,0.117982690163766,2.9544785244018,0.00313197950914553,0.0170175905861505
"YALI0_A10296g",2528.97844760443,-0.591905358619232,0.13550533829801,-4.36813313817558,1.25313097220419e-05,0.000199004241745119
"YALI0_A10318g",6269.12720112357,0.355978345407475,0.106172510956017,3.35282967504595,0.000799899151497898,0.005908623253058
"YALI0_A10439g",60.4231956843322,-1.53278770766189,0.586067400021914,-2.61537786883314,0.0089128790085857,0.0379160806507024
"YALI0_A10483g",941.041148415494,-0.63055409546318,0.195404991933571,-3.2269088380175,0.0012513532120304,0.00839310200868264
